account_uuid,account_number,account_format,bank_id,date_added,critical_account
7b89296c-6dcb-4c50-8857-7eb1924770d3,GB72SBNP90377420875135,IBAN,IZXVGB23BWP,2024-08-09,true
c963cfe0-afae-4a3b-b909-6a04e7d80068,GB38XVZY24159206611257,IBAN,IZXVGB23BWP,2024-12-17,true
9c6ab710-4a08-4720-8ede-24428a013fda,GB90RZJT09340662170830,IBAN,IZXVGB23BWP,2024-07-28,true
8623121d-e0bb-437a-9459-4d8b75673fca,GB70OSQB34325470820397,IBAN,IZXVGB23BWP,2024-06-27,false
5d357ffe-4423-460d-9b0e-da407f5e8e61,GB73PILU37518538125155,IBAN,IZXVGB23BWP,2024-07-12,false
277582f0-93f5-4c2c-888e-44f94ecc6c7f,GB18JJSE43775012260306,IBAN,IZXVGB23BWP,2024-04-29,false
b3fb08f3-4b48-438b-9e51-a921e8e6a305,GB53DJWO72512936636185,IBAN,IZXVGB23BWP,2024-12-19,true
e60922ca-8aba-43ed-a4d9-4a354580711b,GB50IMRW65586508639063,IBAN,IZXVGB23BWP,2024-04-15,false
7b24b13f-17ba-4194-b6ae-4b1d3423bf15,GB18GWCP99457944745182,IBAN,IZXVGB23BWP,2024-03-20,false
f3a3c571-7476-4899-b5a3-adb3254a9493,GB96EOOY26568181174035,IBAN,IZXVGB23BWP,2024-02-26,false
cb6e16b3-6356-4e6e-bdae-c44eef2bcaab,GB15MZTH67481868501812,IBAN,IZXVGB23BWP,2024-12-28,true
f1ff7a3c-304b-4f17-bf75-a07f83d2f947,GB71QHGU97153345521542,IBAN,IZXVGB23BWP,2024-07-18,true
c8d611ab-45f8-48ea-aceb-3add85102adc,GB55QNIZ77053953581835,IBAN,IZXVGB23BWP,2024-07-20,true
07bafecf-1852-4c79-9f27-6662c586fbcc,GB10YDAI08030836640239,IBAN,IZXVGB23BWP,2024-10-26,true
6621782c-e52c-4d66-938c-bbb4d2e5081b,GB18KMGH47226145476022,IBAN,IZXVGB23BWP,2024-11-15,true
6643fff1-57da-4a62-8118-80da1f5e95f4,GB82DQKM29587836704150,IBAN,IZXVGB23BWP,2024-02-17,false
d130c0ae-e8ef-4937-9851-2321c99322a5,GB66ZLSK51354913068497,IBAN,IZXVGB23BWP,2024-11-01,true
02e9a993-aca4-45ca-947b-711724ece660,GB94ECVA94198739021002,IBAN,IZXVGB23BWP,2024-02-26,true
55d70271-c073-4500-ab26-e11b131826a7,GB24CFYK53376121809818,IBAN,IZXVGB23BWP,2024-01-29,false
bc087a02-3415-49ca-a6cd-1c580bad0d02,GB77BGXW02940720747733,IBAN,IZXVGB23BWP,2024-01-18,false
f10cc4f3-ae39-489a-81cf-e9d7627bffe1,GB22MAVX62043021871817,IBAN,IZXVGB23BWP,2024-05-29,true
b86759d1-3ba6-4a4a-839f-64bfbf5c8eed,GB14XYHX37466735372656,IBAN,IZXVGB23BWP,2024-10-17,true
d34923a2-4d4b-4d7e-a96d-7e83b47a99c9,GB87WFJX80607769849053,IBAN,IZXVGB23BWP,2024-09-30,true
097ac32f-0f04-4b42-9dcc-9e88dd29c0f4,GB06TBBK29850513057489,IBAN,IZXVGB23BWP,2024-12-01,true
2838f743-eeda-4f44-a6de-04ac6336e3b2,GB27MMFR10832564678949,IBAN,IZXVGB23BWP,2024-05-30,true
6848f458-f022-4b40-924e-3a1e35ee8983,GB90GCNS97309461491301,IBAN,IZXVGB23BWP,2024-03-22,false
d032df20-5b9c-4c5b-adec-ea18d8cded08,GB61FLCX94092078448465,IBAN,IZXVGB23BWP,2024-11-24,true
bfac159c-a7ec-48f1-b28c-3e914f40fc12,GB22JOUX14785807093773,IBAN,IZXVGB23BWP,2024-04-30,false
e15cc3d0-569b-4f86-b133-030e8aee2619,GB54RKPS02309710186570,IBAN,IZXVGB23BWP,2024-07-29,true
f7ad61ff-583e-47b6-9b3f-9d6f99029742,GB88TLLA75869922165592,IBAN,IZXVGB23BWP,2024-08-20,false
a9ae3bda-3061-445a-9143-1fb18d11fe70,GB40RCGV42498557632942,IBAN,IZXVGB23BWP,2024-08-02,true
16c8dbd8-a11e-47e7-82b3-32fd720e3f2d,GB54OQUC78516418599387,IBAN,IZXVGB23BWP,2024-06-22,true
124287c4-9e03-40ca-aedb-cc41f378533b,GB73TCBM80598593121638,IBAN,IZXVGB23BWP,2024-12-28,false
fcf18a73-184b-4ddd-9338-3dc666662e03,GB21MSDQ81942538844287,IBAN,IZXVGB23BWP,2024-06-04,true
2e03d6fe-cd70-4dbf-9ce7-c2c8e3d34512,GB88LZFM55429727733456,IBAN,IZXVGB23BWP,2024-12-11,false
3e225573-4e78-48c8-bb08-efbeeb795c22,GB58HJHV13282131157289,IBAN,IZXVGB23BWP,2024-12-23,false
e895edf9-d496-416d-a05f-0edf1fcfa0de,GB11DUYJ98414992907059,IBAN,IZXVGB23BWP,2024-02-18,false
c8311f98-5476-4495-a1f7-5952ec026c56,GB70EKZS68739398479464,IBAN,IZXVGB23BWP,2024-12-24,true
f19607ee-16b1-4190-95ec-e23c913feec6,GB33SSCQ89870354983504,IBAN,IZXVGB23BWP,2024-08-08,false
c9807541-40f8-4402-8fd8-c0694ec48b2f,GB85JRIZ19776684473620,IBAN,IZXVGB23BWP,2024-04-29,true
4f851924-f4be-4723-af7e-95a025a74d20,GB82EVJA51473322705367,IBAN,IZXVGB23BWP,2024-02-27,false
5d4fb5e2-c807-4d78-ac51-675e06be7099,GB67AVZL46110857092856,IBAN,IZXVGB23BWP,2024-01-11,true
07be4180-233a-45a3-a975-e4de459e7e21,GB19IVEA23754313966231,IBAN,IZXVGB23BWP,2024-04-15,false
cbc9b2ae-152f-42a0-8055-b8271fcf6008,GB98DYCZ44333058939623,IBAN,IZXVGB23BWP,2024-02-18,false
dcfd2e32-f25d-40da-be62-d78518a9cfa9,GB20DPUE60197003799015,IBAN,IZXVGB23BWP,2024-02-07,true
7b46c9ce-c1a9-4388-b911-5be54c589997,GB76JXYP06950698775020,IBAN,IZXVGB23BWP,2024-04-25,false
2e9990a3-5898-497e-b9cc-97c10a90d877,GB63BXLF28716605095513,IBAN,IZXVGB23BWP,2024-01-17,false
af81a728-d95c-4a39-9143-a2f96491b626,GB06MSVJ87341331248250,IBAN,IZXVGB23BWP,2024-06-01,true
8b02356f-7937-4ef0-bc8b-075de6bfa196,GB45XPRP81947386568727,IBAN,IZXVGB23BWP,2024-12-16,false
86d704d2-f310-4e05-b62b-b111cc1e50f8,GB79ZOQS74631591035364,IBAN,IZXVGB23BWP,2024-11-05,false
