account_uuid,account_number,account_format,bank_id,reporter_bic,date_added
7b89296c-6dcb-4c50-8857-7eb1924770d3,GB72SBNP90377420875135,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-08-09
c963cfe0-afae-4a3b-b909-6a04e7d80068,DE78241592066112579763,IBAN,QPSBDEB1,IZXVGB23BWP,2024-12-17
9c6ab710-4a08-4720-8ede-24428a013fda,GB90RZJT09340662170830,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-07-28
8623121d-e0bb-437a-9459-4d8b75673fca,DE62798034325470820397,IBAN,QPSBDEB1,IZXVGB23BWP,2024-06-27
5d357ffe-4423-460d-9b0e-da407f5e8e61,GB73PILU37518538125155,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-07-12
277582f0-93f5-4c2c-888e-44f94ecc6c7f,DE30449243775012260306,IBAN,QPSBDEB1,IZXVGB23BWP,2024-04-29
b3fb08f3-4b48-438b-9e51-a921e8e6a305,GB53DJWO72512936636185,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-12-19
e60922ca-8aba-43ed-a4d9-4a354580711b,GB50IMRW65586508639063,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-04-15
7b24b13f-17ba-4194-b6ae-4b1d3423bf15,GB18GWCP99457944745182,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-03-20
f3a3c571-7476-4899-b5a3-adb3254a9493,GB96EOOY26568181174035,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-02-26
cb6e16b3-6356-4e6e-bdae-c44eef2bcaab,DE35693674818685018127,IBAN,QPSBDEB1,IZXVGB23BWP,2024-12-28
f1ff7a3c-304b-4f17-bf75-a07f83d2f947,DE29833971533455215424,IBAN,QPSBDEB1,IZXVGB23BWP,2024-07-18
07bafecf-1852-4c79-9f27-6662c586fbcc,GB10YDAI08030836640239,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-10-26
6621782c-e52c-4d66-938c-bbb4d2e5081b,GB18KMGH47226145476022,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-11-15
6643fff1-57da-4a62-8118-80da1f5e95f4,GB82DQKM29587836704150,IBAN,MRWNGBXX8ZX,IZXVGB23BWP,2024-02-17
d130c0ae-e8ef-4937-9851-2321c99322a5,DE11595513549130684971,IBAN,QPSBDEB1,IZXVGB23BWP,2024-11-01
02e9a993-aca4-45ca-947b-711724ece660,GB94ECVA94198739021002,IBAN,CVATGBQH,IZXVGB23BWP,2024-02-26
55d70271-c073-4500-ab26-e11b131826a7,GB24CFYK53376121809818,IBAN,FYKLGBNO,IZXVGB23BWP,2024-01-29
bc087a02-3415-49ca-a6cd-1c580bad0d02,GB77BGXW02940720747733,IBAN,GXWAGBJR,IZXVGB23BWP,2024-01-18
f10cc4f3-ae39-489a-81cf-e9d7627bffe1,GB22MAVX62043021871817,IBAN,AVXMGBKBSOC,IZXVGB23BWP,2024-05-29
b86759d1-3ba6-4a4a-839f-64bfbf5c8eed,GB14XYHX37466735372656,IBAN,XHOIGBZ0,IZXVGB23BWP,2024-10-17
d34923a2-4d4b-4d7e-a96d-7e83b47a99c9,GB87WFJX80607769849053,IBAN,JXVRGBB1,IZXVGB23BWP,2024-09-30
097ac32f-0f04-4b42-9dcc-9e88dd29c0f4,GB06TBBK29850513057489,IBAN,BKETGB7U,IZXVGB23BWP,2024-12-01
2838f743-eeda-4f44-a6de-04ac6336e3b2,GB27MMFR10832564678949,IBAN,MFRVGBEC9PK,IZXVGB23BWP,2024-05-30
6848f458-f022-4b40-924e-3a1e35ee8983,DE57316997309461491301,IBAN,QPSBDEB1,IZXVGB23BWP,2024-03-22
d032df20-5b9c-4c5b-adec-ea18d8cded08,DE89251940920784484659,IBAN,QPSBDEB1,IZXVGB23BWP,2024-11-24
bfac159c-a7ec-48f1-b28c-3e914f40fc12,GB22JOUX14785807093773,IBAN,OUXCGBQ29V9,IZXVGB23BWP,2024-04-30
e15cc3d0-569b-4f86-b133-030e8aee2619,GB54RKPS02309710186570,IBAN,PSAEGBPC5HD,IZXVGB23BWP,2024-07-29
f7ad61ff-583e-47b6-9b3f-9d6f99029742,GB88TLLA75869922165592,IBAN,LAPLGB71KKH,IZXVGB23BWP,2024-08-20
a9ae3bda-3061-445a-9143-1fb18d11fe70,GB40RCGV42498557632942,IBAN,GVIFGBS7,IZXVGB23BWP,2024-08-02
16c8dbd8-a11e-47e7-82b3-32fd720e3f2d,GB54OQUC78516418599387,IBAN,QUCOGB8UG0R,IZXVGB23BWP,2024-06-22
124287c4-9e03-40ca-aedb-cc41f378533b,DE88910680598593121638,IBAN,QPSBDEB1,IZXVGB23BWP,2024-12-28
fcf18a73-184b-4ddd-9338-3dc666662e03,GB21MSDQ81942538844287,IBAN,SDQZGB8HRLU,IZXVGB23BWP,2024-06-04
2e03d6fe-cd70-4dbf-9ce7-c2c8e3d34512,GB88LZFM55429727733456,IBAN,ZFMVGBUWQL5,IZXVGB23BWP,2024-12-11
3e225573-4e78-48c8-bb08-efbeeb795c22,GB58HJHV13282131157289,IBAN,JHVCGBNJ,IZXVGB23BWP,2024-12-23
e895edf9-d496-416d-a05f-0edf1fcfa0de,GB11DUYJ98414992907059,IBAN,UYJSGB7R,IZXVGB23BWP,2024-02-18
c8311f98-5476-4495-a1f7-5952ec026c56,DE35259687393984794649,IBAN,QPSBDEB1,IZXVGB23BWP,2024-12-24
f19607ee-16b1-4190-95ec-e23c913feec6,DE70991889870354983504,IBAN,QRTQDE3A,IZXVGB23BWP,2024-08-08
c9807541-40f8-4402-8fd8-c0694ec48b2f,GB85JRIZ19776684473620,IBAN,RIZCGB53019,IZXVGB23BWP,2024-04-29
4f851924-f4be-4723-af7e-95a025a74d20,GB82EVJA51473322705367,IBAN,VJAVGBVF,IZXVGB23BWP,2024-02-27
5d4fb5e2-c807-4d78-ac51-675e06be7099,GB67AVZL46110857092856,IBAN,VZLIGBZG,IZXVGB23BWP,2024-01-11
07be4180-233a-45a3-a975-e4de459e7e21,DE79420237543139662315,IBAN,VEAEDEN3UTM,IZXVGB23BWP,2024-04-15
cbc9b2ae-152f-42a0-8055-b8271fcf6008,DE89114433305893962396,IBAN,YCZJDESO,IZXVGB23BWP,2024-02-18
dcfd2e32-f25d-40da-be62-d78518a9cfa9,GB20DPUE60197003799015,IBAN,PUEMGBDH,IZXVGB23BWP,2024-02-07
7b46c9ce-c1a9-4388-b911-5be54c589997,DE90470695069877502013,IBAN,XYPXDEBZUA0,IZXVGB23BWP,2024-04-25
2e9990a3-5898-497e-b9cc-97c10a90d877,DE15052287166050955133,IBAN,XLFEDE74,IZXVGB23BWP,2024-01-17
af81a728-d95c-4a39-9143-a2f96491b626,GB06MSVJ87341331248250,IBAN,SVJQGB3NTFM,IZXVGB23BWP,2024-06-01
8b02356f-7937-4ef0-bc8b-075de6bfa196,GB45XPRP81947386568727,IBAN,RPRWGBES5P7,IZXVGB23BWP,2024-12-16
86d704d2-f310-4e05-b62b-b111cc1e50f8,GB79ZOQS74631591035364,IBAN,QSOIGBYNGVF,IZXVGB23BWP,2024-11-05
4919dd56-8d2c-484a-8e6d-4283af4086ce,GB75VZRJ66112528254634,IBAN,YNNDGBEJVL9,IZXVGB23BWP,2024-09-22
ee842018-0f76-40e3-837a-aeccfb7d107f,GB34ABMM27663366296155,IBAN,BMMEGB21,IZXVGB23BWP,2024-01-06
bf13c14c-1b0e-4c45-942e-64e5e0f23635,GB70KDXZ83971866200884,IBAN,DXZRGBO5F9Z,IZXVGB23BWP,2024-12-07
5f15103b-ab27-4449-9f4b-5fe29cf80430,GB96TTVL07597961468068,IBAN,AOKTGB3ZFQY,IZXVGB23BWP,2024-08-26
34adc550-78a9-430a-b8d1-7baed6fe0d19,DE72773503169911083189,IBAN,PGWLDECPG1H,IZXVGB23BWP,2024-11-22
79f4d093-0b56-4fbe-a371-7c62c2c007e8,GB98YUBP70965331616327,IBAN,PXOAGBYW,IZXVGB23BWP,2024-10-22
54f480aa-03be-4b42-b3da-4d3a1384d59d,DE86130500458933550615,IBAN,GAKBDEAQ,IZXVGB23BWP,2024-01-30
f4290dac-4b65-4c04-8446-750d860faf24,GB96QQJC42644334485684,IBAN,CVUJGBJ1STM,IZXVGB23BWP,2024-07-22
89e1f787-0c99-40b7-bc32-121d066da298,GB11ABRP66528756129033,IBAN,BRPMGB1W,IZXVGB23BWP,2024-01-10
a1e17d9e-5810-42f4-83bc-2c1bf0c8a306,GB60ILUO29166760180655,IBAN,LUOEGBGYZ21,IZXVGB23BWP,2024-04-12
f4e14e75-4ea2-44f5-a854-3d8871dfd962,DE16764455359020348942,IBAN,NJJLDEUMXDJ,IZXVGB23BWP,2024-06-21
780241c2-81f4-4997-af41-ebac3931bab3,DE05368799173402301635,IBAN,NQPTDEF4,IZXVGB23BWP,2024-03-27
ecb0ba84-27a4-464a-b48a-56b7fe793d05,DE36728195342696913366,IBAN,EQCTDEXNQKY,IZXVGB23BWP,2024-06-25
2d9a057c-74a2-45d2-aa00-973404a3de5a,GB88AVOF05334766462946,IBAN,VOFBGBXM,IZXVGB23BWP,2024-01-08
2b23a752-af02-422e-aa0c-c3ec505c06bc,GB53KVVF67773248275139,IBAN,VVFMGB225NI,IZXVGB23BWP,2024-05-01
c17e24d6-a404-42e3-ac1f-a03e0421407a,GB79AVUY64122184607898,IBAN,VUYMGBQF,IZXVGB23BWP,2024-01-07
31239918-bcc6-456a-9a5b-e506909fe183,DE86953626644600120686,IBAN,XGNEDEYZQR1,IZXVGB23BWP,2024-08-07
968de480-d9ea-4692-bd6f-68fa9ccb62ea,GB51TPSE88556857267989,IBAN,SEZZGB68WWY,IZXVGB23BWP,2024-08-25
f965ab67-76a8-43d5-b891-f4b35396a382,GB80KXOF71294099713961,IBAN,XOFPGBEITC5,IZXVGB23BWP,2024-05-06
