account_uuid,account_number,account_format,bank_id,reporter_bic,date_added,flag
7b89296c-6dcb-4c50-8857-7eb1924770d3,GB72SBNP90377420875135,IBAN,IZXVGB23BWP,QPSBDEB1,2024-08-09,SUSPECTED
c963cfe0-afae-4a3b-b909-6a04e7d80068,GB38XVZY24159206611257,IBAN,IZXVGB23BWP,QPSBDEB1,2024-12-17,SUSPECTED
9c6ab710-4a08-4720-8ede-24428a013fda,DE25849093406621708301,IBAN,TATUDENQDZY,QPSBDEB1,2024-07-28,SUSPECTED
8623121d-e0bb-437a-9459-4d8b75673fca,GB70OSQB34325470820397,IBAN,IZXVGB23BWP,QPSBDEB1,2024-06-27,SUSPECTED
5d357ffe-4423-460d-9b0e-da407f5e8e61,GB73PILU37518538125155,IBAN,IZXVGB23BWP,QPSBDEB1,2024-07-12,SUSPECTED
277582f0-93f5-4c2c-888e-44f94ecc6c7f,DE30449243775012260306,IBAN,JSEIDEO43VC,QPSBDEB1,2024-04-29,SUSPECTED
b3fb08f3-4b48-438b-9e51-a921e8e6a305,GB53DJWO72512936636185,IBAN,IZXVGB23BWP,QPSBDEB1,2024-12-19,SUSPECTED
e60922ca-8aba-43ed-a4d9-4a354580711b,GB50IMRW65586508639063,IBAN,MRWNGBXX8ZX,QPSBDEB1,2024-04-15,SUSPECTED
7b24b13f-17ba-4194-b6ae-4b1d3423bf15,GB18GWCP99457944745182,IBAN,IZXVGB23BWP,QPSBDEB1,2024-03-20,SUSPECTED
f3a3c571-7476-4899-b5a3-adb3254a9493,GB96EOOY26568181174035,IBAN,IZXVGB23BWP,QPSBDEB1,2024-02-26,SUSPECTED
cb6e16b3-6356-4e6e-bdae-c44eef2bcaab,GB15MZTH67481868501812,IBAN,IZXVGB23BWP,QPSBDEB1,2024-12-28,SUSPECTED
f1ff7a3c-304b-4f17-bf75-a07f83d2f947,DE29833971533455215424,IBAN,GUXSDE3F,QPSBDEB1,2024-07-18,SUSPECTED
c8d611ab-45f8-48ea-aceb-3add85102adc,GB55QNIZ77053953581835,IBAN,IZXVGB23BWP,QPSBDEB1,2024-07-20,SUSPECTED
07bafecf-1852-4c79-9f27-6662c586fbcc,GB10YDAI08030836640239,IBAN,AIARGBDO,QPSBDEB1,2024-10-26,SUSPECTED
6621782c-e52c-4d66-938c-bbb4d2e5081b,GB18KMGH47226145476022,IBAN,MGHJGB4JK0F,QPSBDEB1,2024-11-15,SUSPECTED
6643fff1-57da-4a62-8118-80da1f5e95f4,GB82DQKM29587836704150,IBAN,QKMFGBW7,QPSBDEB1,2024-02-17,SUSPECTED
d130c0ae-e8ef-4937-9851-2321c99322a5,GB66ZLSK51354913068497,IBAN,SKKCGBPUQHN,QPSBDEB1,2024-11-01,SUSPECTED
02e9a993-aca4-45ca-947b-711724ece660,DE62210941987390210023,IBAN,CVATDEQH,QPSBDEB1,2024-02-26,SUSPECTED
55d70271-c073-4500-ab26-e11b131826a7,DE34125533761218098185,IBAN,FYKLDENO,QPSBDEB1,2024-01-29,SUSPECTED
bc087a02-3415-49ca-a6cd-1c580bad0d02,DE92030294072074773314,IBAN,GXWADEJR,QPSBDEB1,2024-01-18,SUSPECTED
f10cc4f3-ae39-489a-81cf-e9d7627bffe1,DE54606204302187181726,IBAN,AVXMDEKBSOC,QPSBDEB1,2024-05-29,SUSPECTED
b86759d1-3ba6-4a4a-839f-64bfbf5c8eed,GB14XYHX37466735372656,IBAN,XHOIGBZ0,QPSBDEB1,2024-10-17,SUSPECTED
