account_uuid,account_number,account_format,bank_id,date_added,critical_account,name,adress,social_security_number
d29b8652-db47-479a-9a9e-7f65abc703cc,GB08VTHR16662263188549,IBAN,MRWNGBXX8ZX,2024-09-17,false,,,
c607ff1c-764f-49b0-864e-b6e91cd9e1d9,GB52DAOY69242945688446,IBAN,MRWNGBXX8ZX,2024-02-13,true,,,
c4f28612-6cfe-4b7b-8e32-f5cef5380623,GB34BNYT23786172309220,IBAN,MRWNGBXX8ZX,2024-01-22,true,,,
b5e35291-90e7-4962-ac0a-85ff4e000c37,GB10JFSW35404954929633,IBAN,MRWNGBXX8ZX,2024-04-28,true,,,
6b33c877-9c46-4a27-a350-df17526fba27,GB33KTNO51026066859611,IBAN,MRWNGBXX8ZX,2024-05-05,true,,,
080ef99d-0443-4739-b329-8fb53eb19b07,GB56HGAB22192415805286,IBAN,MRWNGBXX8ZX,2024-04-05,false,,,
7aca15aa-170f-44d5-b85e-3a1158f62daf,GB49LXCP05236138649621,IBAN,MRWNGBXX8ZX,2024-05-14,false,,,
8e4d0718-cee4-40c2-be16-12d0cbc27c73,GB07ZPZR41263655512354,IBAN,MRWNGBXX8ZX,2024-11-05,true,,,
5ccd01d4-647a-4f5e-a658-868b73f091a7,GB45OEML31917095449178,IBAN,MRWNGBXX8ZX,2024-06-24,false,,,
e1afd95c-b547-41a5-8697-9999fa697686,GB64AWHZ82062833908960,IBAN,MRWNGBXX8ZX,2024-01-11,true,,,
9f76a503-a0f6-4830-b494-26a17a0cb0f5,GB67PGUT10649618746971,IBAN,MRWNGBXX8ZX,2024-07-04,false,,,
71eab109-1f8f-4ed9-b421-371698bbbde0,GB67TWDO00294927273367,IBAN,MRWNGBXX8ZX,2024-08-19,true,,,
90aedb73-baff-4899-9e69-96ce8add1e25,GB71RLXS74466505623238,IBAN,MRWNGBXX8ZX,2024-07-29,true,,,
27037520-b8c6-451d-9cda-d549f0a99050,GB47LXEQ84461842365023,IBAN,MRWNGBXX8ZX,2024-05-20,true,,,
18fbd645-88ee-406e-ab71-40e52342b95f,GB94ENRD30300778430847,IBAN,MRWNGBXX8ZX,2024-02-23,false,,,
