account_uuid,account_number,account_format,bank_id,reporter_bic,date_added,name,adress,social_security_number
7b89296c-6dcb-4c50-8857-7eb1924770d3,GB72SBNP90377420875135,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-08-09,,,
c963cfe0-afae-4a3b-b909-6a04e7d80068,GB38XVZY24159206611257,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-12-17,,,
9c6ab710-4a08-4720-8ede-24428a013fda,DE25849093406621708301,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-07-28,,,
8623121d-e0bb-437a-9459-4d8b75673fca,GB70OSQB34325470820397,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-06-27,,,
5d357ffe-4423-460d-9b0e-da407f5e8e61,DE46745375185381251553,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-07-12,,,
277582f0-93f5-4c2c-888e-44f94ecc6c7f,DE30449243775012260306,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-04-29,,,
b3fb08f3-4b48-438b-9e51-a921e8e6a305,DE29008766528756129033,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-12-19,,,
7b24b13f-17ba-4194-b6ae-4b1d3423bf15,GB18GWCP99457944745182,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-03-20,,,
f3a3c571-7476-4899-b5a3-adb3254a9493,GB96EOOY26568181174035,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-02-26,,,
cb6e16b3-6356-4e6e-bdae-c44eef2bcaab,GB15MZTH67481868501812,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-12-28,,,
f1ff7a3c-304b-4f17-bf75-a07f83d2f947,GB71QHGU97153345521542,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-07-18,,,
c8d611ab-45f8-48ea-aceb-3add85102adc,GB55QNIZ77053953581835,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-07-20,,,
07bafecf-1852-4c79-9f27-6662c586fbcc,DE43104080308366402393,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-10-26,,,
6621782c-e52c-4d66-938c-bbb4d2e5081b,GB18KMGH47226145476022,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-11-15,,,
6643fff1-57da-4a62-8118-80da1f5e95f4,GB82DQKM29587836704150,IBAN,IZXVGB23BWP,MRWNGBXX8ZX,2024-02-17,,,
d130c0ae-e8ef-4937-9851-2321c99322a5,GB66ZLSK51354913068497,IBAN,SKKCGBPUQHN,MRWNGBXX8ZX,2024-11-01,,,
02e9a993-aca4-45ca-947b-711724ece660,DE62210941987390210023,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-02-26,,,
55d70271-c073-4500-ab26-e11b131826a7,GB24CFYK53376121809818,IBAN,FYKLGBNO,MRWNGBXX8ZX,2024-01-29,,,
bc087a02-3415-49ca-a6cd-1c580bad0d02,DE92030294072074773314,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-01-18,,,
f10cc4f3-ae39-489a-81cf-e9d7627bffe1,GB22MAVX62043021871817,IBAN,AVXMGBKBSOC,MRWNGBXX8ZX,2024-05-29,,,
b86759d1-3ba6-4a4a-839f-64bfbf5c8eed,GB14XYHX37466735372656,IBAN,XHOIGBZ0,MRWNGBXX8ZX,2024-10-17,,,
d34923a2-4d4b-4d7e-a96d-7e83b47a99c9,GB87WFJX80607769849053,IBAN,JXVRGBB1,MRWNGBXX8ZX,2024-09-30,,,
097ac32f-0f04-4b42-9dcc-9e88dd29c0f4,GB06TBBK29850513057489,IBAN,BKETGB7U,MRWNGBXX8ZX,2024-12-01,,,
2838f743-eeda-4f44-a6de-04ac6336e3b2,DE59662810832564678949,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-05-30,,,
6848f458-f022-4b40-924e-3a1e35ee8983,GB90GCNS97309461491301,IBAN,CNSSGB4N,MRWNGBXX8ZX,2024-03-22,,,
d032df20-5b9c-4c5b-adec-ea18d8cded08,GB61FLCX94092078448465,IBAN,LCXTGBTB,MRWNGBXX8ZX,2024-11-24,,,
bfac159c-a7ec-48f1-b28c-3e914f40fc12,DE24471478580709377396,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-04-30,,,
e15cc3d0-569b-4f86-b133-030e8aee2619,GB54RKPS02309710186570,IBAN,PSAEGBPC5HD,MRWNGBXX8ZX,2024-07-29,,,
f7ad61ff-583e-47b6-9b3f-9d6f99029742,DE41955075869922165592,IBAN,QPSBDEB1,MRWNGBXX8ZX,2024-08-20,,,
a9ae3bda-3061-445a-9143-1fb18d11fe70,GB40RCGV42498557632942,IBAN,GVIFGBS7,MRWNGBXX8ZX,2024-08-02,,,
16c8dbd8-a11e-47e7-82b3-32fd720e3f2d,GB54OQUC78516418599387,IBAN,QUCOGB8UG0R,MRWNGBXX8ZX,2024-06-22,,,
124287c4-9e03-40ca-aedb-cc41f378533b,GB73TCBM80598593121638,IBAN,BMRAGBV6,MRWNGBXX8ZX,2024-12-28,,,
fcf18a73-184b-4ddd-9338-3dc666662e03,DE65691881942538844287,IBAN,SDQZDE8HRLU,MRWNGBXX8ZX,2024-06-04,,,
2e03d6fe-cd70-4dbf-9ce7-c2c8e3d34512,GB88LZFM55429727733456,IBAN,ZFMVGBUWQL5,MRWNGBXX8ZX,2024-12-11,,,
3e225573-4e78-48c8-bb08-efbeeb795c22,GB58HJHV13282131157289,IBAN,JHVCGBNJ,MRWNGBXX8ZX,2024-12-23,,,
e895edf9-d496-416d-a05f-0edf1fcfa0de,GB11DUYJ98414992907059,IBAN,UYJSGB7R,MRWNGBXX8ZX,2024-02-18,,,
c8311f98-5476-4495-a1f7-5952ec026c56,GB70EKZS68739398479464,IBAN,KZSNGB92,MRWNGBXX8ZX,2024-12-24,,,
f19607ee-16b1-4190-95ec-e23c913feec6,GB33SSCQ89870354983504,IBAN,QRTQGB3A,MRWNGBXX8ZX,2024-08-08,,,
c9807541-40f8-4402-8fd8-c0694ec48b2f,DE24484197766844736203,IBAN,RIZCDE53019,MRWNGBXX8ZX,2024-04-29,,,
4f851924-f4be-4723-af7e-95a025a74d20,GB82EVJA51473322705367,IBAN,VJAVGBVF,MRWNGBXX8ZX,2024-02-27,,,
5d4fb5e2-c807-4d78-ac51-675e06be7099,DE15054611085709285641,IBAN,VZLIDEZG,MRWNGBXX8ZX,2024-01-11,,,
07be4180-233a-45a3-a975-e4de459e7e21,GB19IVEA23754313966231,IBAN,VEAEGBN3UTM,MRWNGBXX8ZX,2024-04-15,,,
cbc9b2ae-152f-42a0-8055-b8271fcf6008,GB98DYCZ44333058939623,IBAN,YCZJGBSO,MRWNGBXX8ZX,2024-02-18,,,
dcfd2e32-f25d-40da-be62-d78518a9cfa9,GB20DPUE60197003799015,IBAN,PUEMGBDH,MRWNGBXX8ZX,2024-02-07,,,
7b46c9ce-c1a9-4388-b911-5be54c589997,GB76JXYP06950698775020,IBAN,XYPXGBBZUA0,MRWNGBXX8ZX,2024-04-25,,,
2e9990a3-5898-497e-b9cc-97c10a90d877,GB63BXLF28716605095513,IBAN,XLFEGB74,MRWNGBXX8ZX,2024-01-17,,,
af81a728-d95c-4a39-9143-a2f96491b626,GB06MSVJ87341331248250,IBAN,SVJQGB3NTFM,MRWNGBXX8ZX,2024-06-01,,,
8b02356f-7937-4ef0-bc8b-075de6bfa196,GB45XPRP81947386568727,IBAN,RPRWGBES5P7,MRWNGBXX8ZX,2024-12-16,,,
86d704d2-f310-4e05-b62b-b111cc1e50f8,DE95789746315910353640,IBAN,QSOIDEYNGVF,MRWNGBXX8ZX,2024-11-05,,,
4919dd56-8d2c-484a-8e6d-4283af4086ce,GB75VZRJ66112528254634,IBAN,YNNDGBEJVL9,MRWNGBXX8ZX,2024-09-22,,,
ee842018-0f76-40e3-837a-aeccfb7d107f,GB34ABMM27663366296155,IBAN,BMMEGB21,MRWNGBXX8ZX,2024-01-06,,,
bf13c14c-1b0e-4c45-942e-64e5e0f23635,GB70KDXZ83971866200884,IBAN,DXZRGBO5F9Z,MRWNGBXX8ZX,2024-12-07,,,
5f15103b-ab27-4449-9f4b-5fe29cf80430,GB96TTVL07597961468068,IBAN,AOKTGB3ZFQY,MRWNGBXX8ZX,2024-08-26,,,
34adc550-78a9-430a-b8d1-7baed6fe0d19,GB96PPGW50316991108318,IBAN,PGWLGBCPG1H,MRWNGBXX8ZX,2024-11-22,,,
79f4d093-0b56-4fbe-a371-7c62c2c007e8,GB98YUBP70965331616327,IBAN,PXOAGBYW,MRWNGBXX8ZX,2024-10-22,,,
54f480aa-03be-4b42-b3da-4d3a1384d59d,GB95CGAK00458933550615,IBAN,GAKBGBAQ,MRWNGBXX8ZX,2024-01-30,,,
f4290dac-4b65-4c04-8446-750d860faf24,GB96QQJC42644334485684,IBAN,CVUJGBJ1STM,MRWNGBXX8ZX,2024-07-22,,,
89e1f787-0c99-40b7-bc32-121d066da298,GB11ABRP66528756129033,IBAN,BRPMGB1W,MRWNGBXX8ZX,2024-01-10,,,
a1e17d9e-5810-42f4-83bc-2c1bf0c8a306,GB60ILUO29166760180655,IBAN,LUOEGBGYZ21,MRWNGBXX8ZX,2024-04-12,,,
f4e14e75-4ea2-44f5-a854-3d8871dfd962,DE16764455359020348942,IBAN,NJJLDEUMXDJ,MRWNGBXX8ZX,2024-06-21,,,
780241c2-81f4-4997-af41-ebac3931bab3,GB86HNQP99173402301635,IBAN,NQPTGBF4,MRWNGBXX8ZX,2024-03-27,,,
ecb0ba84-27a4-464a-b48a-56b7fe793d05,GB46OEQC95342696913366,IBAN,EQCTGBXNQKY,MRWNGBXX8ZX,2024-06-25,,,
2d9a057c-74a2-45d2-aa00-973404a3de5a,GB88AVOF05334766462946,IBAN,VOFBGBXM,MRWNGBXX8ZX,2024-01-08,,,
2b23a752-af02-422e-aa0c-c3ec505c06bc,GB53KVVF67773248275139,IBAN,VVFMGB225NI,MRWNGBXX8ZX,2024-05-01,,,
c17e24d6-a404-42e3-ac1f-a03e0421407a,DE58064122184607898112,IBAN,VUYMDEQF,MRWNGBXX8ZX,2024-01-07,,,
31239918-bcc6-456a-9a5b-e506909fe183,GB27SLXG62664460012068,IBAN,XGNEGBYZQR1,MRWNGBXX8ZX,2024-08-07,,,
968de480-d9ea-4692-bd6f-68fa9ccb62ea,DE80979288556857267989,IBAN,SEZZDE68WWY,MRWNGBXX8ZX,2024-08-25,,,
f965ab67-76a8-43d5-b891-f4b35396a382,GB80KXOF71294099713961,IBAN,XOFPGBEITC5,MRWNGBXX8ZX,2024-05-06,,,
72bcf73b-311b-4dbb-a70f-c50c2a8d077d,GB10FGOW38950981923542,IBAN,GOWGGB7U,MRWNGBXX8ZX,2024-03-05,,,
72a5f5c7-8e5b-493d-af92-df3b616de840,DE09687374805466078826,IBAN,VROWDEN2S8C,MRWNGBXX8ZX,2024-05-27,,,
033fc84a-27ca-402b-b619-7596bf54589c,GB06XEAX37717097964445,IBAN,AXGYGB23,MRWNGBXX8ZX,2024-10-17,,,
49f51ee8-9e1a-41f4-9f4f-31754da2de05,DE88419498722443790151,IBAN,DTJSDE85KKS,MRWNGBXX8ZX,2024-04-27,,,
d791ee29-0b48-43a3-8783-28cb932735e0,DE38904321133428532824,IBAN,JHFCDEGP,MRWNGBXX8ZX,2024-08-11,,,
fe04ed97-2385-4011-ad5b-aa4e53a36b9d,DE59562379101495416660,IBAN,NEHODEHCGTW,MRWNGBXX8ZX,2024-05-06,,,
56700a06-dcb2-41f1-9ab8-da192259222e,GB25EDKD30658877835280,IBAN,DKDGGBAY,MRWNGBXX8ZX,2024-02-22,,,
c6d52d65-e836-4e5f-ad4e-0b626194f80d,GB52MFYO20509836695694,IBAN,FYOYGBICVC7,MRWNGBXX8ZX,2024-05-28,,,
520dd5ce-ce81-4b24-b4cf-8b8533a19c01,DE86352736619118802115,IBAN,WZKWDEL3,MRWNGBXX8ZX,2024-03-19,,,
b9a21217-e06d-4af5-bb62-a5d9a3b81c27,GB36UXJO17892490440451,IBAN,OXCPGB9IQCR,MRWNGBXX8ZX,2024-09-05,,,
976c0dae-f32a-40bf-bf14-bf9aabde6bf2,GB25VPSB77850739308285,IBAN,SBPOGB6UC5N,MRWNGBXX8ZX,2024-09-17,,,
77a10088-92d9-42a3-9efb-4b63b6f28805,GB76WSOB24361374876502,IBAN,BFUIGBN1EO2,MRWNGBXX8ZX,2024-10-04,,,
851a987c-eaa7-4d76-978b-f3233772f70b,DE50358713349013518450,IBAN,KQPDDEMO,MRWNGBXX8ZX,2024-03-25,,,
3bd8407e-c30a-4d1e-b012-89eb1b0fc20e,GB58DWYH44703618464174,IBAN,WYHIGBR2,MRWNGBXX8ZX,2024-02-11,,,
74f50109-68ae-4c54-a946-874f35153715,GB15GNOR77531867410715,IBAN,NOROGB3W,MRWNGBXX8ZX,2024-03-21,,,
d44c00c0-7e7a-4169-b093-b1ead28ec954,GB31POCQ71410549369546,IBAN,OCQUGB2HSFD,MRWNGBXX8ZX,2024-11-15,,,
156afdc0-aaf7-4e7c-a22f-36832363de66,GB04EEVC18589498973928,IBAN,EVCCGB8W,MRWNGBXX8ZX,2024-02-23,,,
09085e9d-71ed-4ee0-b281-6e163ea7f9ec,GB17HOOB54956397376708,IBAN,OOBLGBSU,MRWNGBXX8ZX,2024-04-05,,,
bbf167b3-17a1-48e5-9b35-8c24ff473e5c,DE23114939264901418669,IBAN,CXIVDEMI,MRWNGBXX8ZX,2024-02-11,,,
488a9fba-4f3e-471f-9aa5-874a0c6276a6,DE48044480615597082954,IBAN,JJIXDE7A,MRWNGBXX8ZX,2024-01-19,,,
5fee3352-3a73-49b4-9fc4-1cb3efca05dd,GB45THLY11350273868463,IBAN,LYDVGBFP,MRWNGBXX8ZX,2024-12-29,,,
c7540829-73b5-4c82-9d37-e5ac9fb4881b,DE67997194417282338051,IBAN,YUCTDERTH2I,MRWNGBXX8ZX,2024-08-30,,,
a67b66e1-685f-4f8a-910c-11d79b13038d,GB89TKNU25209836871808,IBAN,NUEKGBLB7PY,MRWNGBXX8ZX,2024-08-23,,,
162197ba-cc38-424b-850c-bc8ef39d302b,GB95QZCP49498734732697,IBAN,PIYSGBR9,MRWNGBXX8ZX,2024-07-20,,,
009c9bf1-44fc-4233-b268-bd955bd5d5bc,DE41540149909019710801,IBAN,IADVDETDDG5,MRWNGBXX8ZX,2024-05-19,,,
cadfe9a6-b181-470d-b233-60783652ea10,GB38GGWZ63705026434770,IBAN,GWZZGB0N,MRWNGBXX8ZX,2024-03-23,,,
e7662d7e-2c73-49ca-8d26-015663655b6f,GB89MRFB48647784591423,IBAN,RFBJGB7YT44,MRWNGBXX8ZX,2024-05-30,,,
1c5b925b-b371-4704-8930-5740d4a6d72d,GB13JWDD82305033645098,IBAN,WDDWGB9IMBU,MRWNGBXX8ZX,2024-11-18,,,
